tar,c,s,humidity,s112,s112_315,labels
14020915,83.47,0.93,0.0,2.67,94.33,Coke_1030_Grade_B
14020916,83.05,0.9,0.0,2.0,95.0,Coke_1030_Grade_B
14020925,83.18,0.85,0.0,2.25,94.75,Coke_1030_Grade_B
14020927,81.27,0.9,0.0,4.67,93.83,Coke_1030_Grade_B
14020928,82.0,1.02,0.0,2.5,94.67,Coke_1030_Grade_B
14020930,81.64,0.98,0.0,2.6,94.2,Coke_1030_Grade_B
14021004,81.93,1.03,0.0,2.0,98.0,Coke_1030_Grade_B
14021005,81.63,1.3,0.0,3.33,96.67,Coke_1030_Grade_A
14021006,83.75,0.9,0.0,2.5,97.5,Coke_1030_Grade_B
14021010,82.33,0.9,0.0,3.0,97.0,Coke_1030_Grade_B
14021011,82.3,0.8,0.0,5.0,95.0,Coke_1030_Grade_B
14021013,83.3,0.8,0.0,3.0,97.0,Coke_1030_Grade_B
14021014,80.8,1.3,0.0,3.0,97.0,Coke_1030_Grade_A
14021016,82.38,0.94,0.0,2.8,97.2,Coke_1030_Grade_B
14021017,82.97,1.0,0.0,2.0,98.0,Coke_1030_Grade_B
14021024,83.03,0.83,0.0,2.33,97.67,Coke_1030_Grade_B
14021025,82.38,0.92,0.0,3.75,96.0,Coke_1030_Grade_B
14021026,82.08,1.0,0.0,2.5,96.75,Coke_1030_Grade_B
14021027,82.45,1.02,0.0,2.75,97.25,Coke_1030_Grade_B
14021028,82.2,1.0,0.0,3.0,96.5,Coke_1030_Grade_B
14021104,83.23,0.63,0.0,3.33,96.67,Coke_1030_Grade_B
14021105,83.32,0.78,0.0,2.8,94.6,Coke_1030_Grade_B
14021107,81.22,0.96,0.0,2.6,96.6,Coke_1030_Grade_B
14021108,80.37,1.0,0.0,2.33,94.33,Coke_1030_Grade_A
14021109,83.4,0.9,0.0,2.33,95.0,Coke_1030_Grade_B
14021110,83.6,0.93,0.0,2.33,94.67,Coke_1030_Grade_B
14021111,83.6,1.0,0.0,2.5,94.5,Coke_1030_Grade_B
14021126,81.28,1.18,0.0,2.67,95.17,Coke_1030_Grade_A
14021128,80.71,1.37,0.0,3.57,94.14,Coke_1030_Grade_A
14021129,81.1,1.02,0.0,4.0,94.8,Coke_1030_Grade_B
14021130,81.1,1.13,0.0,2.33,94.33,Coke_1030_Grade_A
14021201,80.77,1.23,0.0,3.0,94.0,Coke_1030_Grade_A
14021202,80.8,1.17,0.0,2.14,95.57,Coke_1030_Grade_A
14021205,80.5,1.22,0.0,4.44,94.56,Coke_1030_Grade_A
14021206,80.43,1.3,0.0,5.0,93.67,Coke_1030_Grade_A
14021208,80.65,1.3,0.0,3.67,94.0,Coke_1030_Grade_A
14021209,80.92,1.32,0.0,1.25,90.5,Coke_1030_Grade_A
14021210,80.35,1.35,0.0,4.5,94.0,Coke_1030_Grade_A
14021213,80.86,1.36,0.0,3.43,94.57,Coke_1030_Grade_A
14021214,81.05,1.35,0.0,3.5,94.5,Coke_1030_Grade_A
14021215,80.93,1.36,0.0,3.43,94.29,Coke_1030_Grade_A
14021216,80.85,1.23,0.0,2.5,93.75,Coke_1030_Grade_A
14021217,80.83,1.36,0.0,3.45,94.36,Coke_1030_Grade_A
14021218,82.23,1.07,0.0,3.11,94.67,Coke_1030_Grade_B
14021227,80.4,1.5,0.0,1.0,98.0,Coke_1030_Grade_A
14030106,81.5,1.5,0.8,2.0,97.0,Coke_1030_Grade_A
14030107,80.0,1.5,5.3,1.0,98.0,Coke_1030_Grade_A
14030108,80.15,1.5,0.75,1.0,98.0,Coke_1030_Grade_A
14030109,80.7,1.5,3.0,3.0,96.0,Coke_1030_Grade_A
14030110,80.2,1.5,0.6,4.0,95.0,Coke_1030_Grade_A
14030115,80.55,1.5,1.1,1.5,97.5,Coke_1030_Grade_A
14030116,80.5,1.42,0.8,1.5,97.5,Coke_1030_Grade_A
14030119,80.2,1.5,2.9,2.0,97.0,Coke_1030_Grade_A
14030120,80.75,1.45,0.25,2.0,97.0,Coke_1030_Grade_A
14030125,80.3,1.4,0.0,1.5,97.5,Coke_1030_Grade_A
14030126,81.0,1.4,0.0,1.0,98.0,Coke_1030_Grade_A
14030127,80.1,1.45,0.0,3.0,96.0,Coke_1030_Grade_A
14030128,80.4,1.4,0.0,1.0,98.0,Coke_1030_Grade_A
14030129,80.1,1.4,0.0,3.0,96.0,Coke_1030_Grade_A
14030130,80.1,1.4,0.0,2.67,96.33,Coke_1030_Grade_A
14030201,80.1,1.4,0.0,2.0,97.0,Coke_1030_Grade_A
14030202,80.13,1.5,0.0,2.67,96.33,Coke_1030_Grade_A
14030203,80.47,1.48,0.0,3.0,96.0,Coke_1030_Grade_A
14030204,80.34,1.5,0.0,2.4,96.6,Coke_1030_Grade_A
14030205,80.73,1.5,0.0,2.67,96.33,Coke_1030_Grade_A
14030206,80.78,1.48,0.0,2.5,96.5,Coke_1030_Grade_A
14030209,81.05,1.49,0.0,2.2,96.8,Coke_1030_Grade_A
14030211,81.27,1.5,0.0,1.33,97.67,Coke_1030_Grade_A
14030212,80.62,1.5,0.0,3.0,96.0,Coke_1030_Grade_A
14030213,80.18,1.5,0.0,1.8,97.2,Coke_1030_Grade_A
14030216,80.7,1.47,0.0,1.67,97.33,Coke_1030_Grade_A
14030217,80.88,1.45,0.0,1.5,97.5,Coke_1030_Grade_A
14030218,80.26,1.48,0.0,1.4,97.6,Coke_1030_Grade_A
14030219,80.45,1.42,0.0,1.5,97.5,Coke_1030_Grade_A
14030220,80.24,1.5,0.0,1.6,97.4,Coke_1030_Grade_A
14030222,80.5,1.5,0.0,1.33,97.67,Coke_1030_Grade_A
14030223,80.57,1.43,0.0,1.67,97.33,Coke_1030_Grade_A
14030224,81.37,1.41,0.0,1.43,97.57,Coke_1030_Grade_A
14030225,81.42,1.4,0.0,1.5,97.5,Coke_1030_Grade_A
14030226,81.4,1.4,0.0,1.0,98.0,Coke_1030_Grade_A
14030227,80.65,1.5,0.0,1.5,97.5,Coke_1030_Grade_A
14030229,81.7,1.45,0.0,1.5,98.0,Coke_1030_Grade_A
14030230,81.15,1.47,0.0,2.0,97.0,Coke_1030_Grade_A
14030231,80.98,1.5,0.0,1.5,97.5,Coke_1030_Grade_A
14030301,81.76,1.5,0.0,1.4,97.8,Coke_1030_Grade_A
14030303,80.91,1.5,0.0,2.44,97.33,Coke_1030_Grade_A
14030305,80.4,1.5,0.0,2.0,97.33,Coke_1030_Grade_A
14030321,80.3,1.3,0.0,1.0,42.0,Coke_1030_Grade_A
14030322,80.55,1.3,0.0,2.0,97.5,Coke_1030_Grade_A
14030324,80.05,1.3,0.0,2.0,97.5,Coke_1030_Grade_A
14030326,80.07,1.33,0.0,2.0,97.33,Coke_1030_Grade_A
14030407,81.65,1.4,3.75,0.0,94.0,Coke_1030_Grade_A
14030410,82.45,1.31,0.0,1.75,96.5,Coke_1030_Grade_A
14030411,81.95,1.38,0.0,1.25,96.5,Coke_1030_Grade_A
14030412,82.03,1.32,0.0,1.67,96.0,Coke_1030_Grade_A
14030413,82.31,1.32,0.0,1.62,96.5,Coke_1030_Grade_A
14030414,81.85,1.3,0.0,1.5,97.0,Coke_1030_Grade_A
14030416,82.1,1.25,0.0,0.67,96.67,Coke_1030_Grade_A
14030417,80.3,1.1,0.0,1.0,98.0,Coke_1030_Grade_A
14030418,81.55,1.27,0.0,0.75,96.5,Coke_1030_Grade_A
14030419,82.75,1.35,0.0,0.5,96.5,Coke_1030_Grade_A
14030420,81.6,1.37,0.0,0.5,96.83,Coke_1030_Grade_A
14030421,82.44,1.42,0.0,0.6,96.6,Coke_1030_Grade_A
14030423,81.18,1.35,0.0,0.25,96.5,Coke_1030_Grade_A
14030424,82.03,1.34,0.0,1.2,97.0,Coke_1030_Grade_A
14030428,82.25,1.34,0.0,0.6,96.5,Coke_1030_Grade_A
14030430,80.68,1.39,0.0,0.46,96.54,Coke_1030_Grade_A
14030431,81.67,1.41,1.03,0.47,96.53,Coke_1030_Grade_A
14030501,81.2,1.43,0.0,3.33,96.0,Coke_1030_Grade_A
14030502,82.16,1.39,0.0,0.38,96.25,Coke_1030_Grade_A
14030503,81.47,1.43,0.0,1.14,97.29,Coke_1030_Grade_A
14030504,81.6,1.35,0.0,1.75,96.5,Coke_1030_Grade_A
14030506,81.26,1.38,0.0,0.8,96.8,Coke_1030_Grade_A
14030507,81.1,1.36,0.0,2.71,96.14,Coke_1030_Grade_A
14030510,82.02,1.38,0.0,1.0,96.75,Coke_1030_Grade_A
14030511,82.3,1.4,0.0,3.0,96.5,Coke_1030_Grade_A
14030513,81.0,1.4,0.0,0.0,97.0,Coke_1030_Grade_A
14030514,81.5,1.4,0.0,2.0,98.0,Coke_1030_Grade_A
14030516,82.9,0.9,0.0,3.0,97.0,Coke_1030_Grade_B
14030517,83.9,0.95,0.0,2.75,97.25,Coke_1030_Grade_B
14030520,81.05,1.25,0.0,2.5,97.0,Coke_1030_Grade_A
14030521,82.22,1.35,0.0,1.5,97.0,Coke_1030_Grade_A
14030522,82.62,1.27,0.0,1.5,96.88,Coke_1030_Grade_A
14030523,81.28,1.35,0.0,1.75,96.5,Coke_1030_Grade_A
14030524,82.33,1.23,0.0,1.33,96.78,Coke_1030_Grade_A
14030525,83.45,0.82,0.0,1.91,97.36,Coke_1030_Grade_B
14030526,80.6,1.14,0.0,1.0,98.0,Coke_1030_Grade_A
14030527,80.3,1.0,0.0,2.0,97.0,Coke_1030_Grade_A
14030528,82.99,1.03,0.0,1.86,97.14,Coke_1030_Grade_B
14030529,83.89,0.98,0.0,1.8,97.3,Coke_1030_Grade_B
14030530,83.65,0.87,0.0,1.83,97.17,Coke_1030_Grade_B
14030531,83.59,0.97,0.0,2.0,97.14,Coke_1030_Grade_B
14030601,83.78,0.82,0.0,2.0,97.25,Coke_1030_Grade_B
14030603,80.0,0.8,0.0,3.0,97.0,Coke_1030_Grade_A
14030606,84.11,0.92,0.0,2.12,97.25,Coke_1030_Grade_B
14030607,83.33,0.94,0.0,2.0,97.29,Coke_1030_Grade_B
14030608,84.06,0.94,0.0,2.8,96.8,Coke_1030_Grade_B
14030619,84.05,1.1,0.0,2.5,97.0,Coke_1030_Grade_B
14030620,82.8,1.1,0.0,1.5,97.5,Coke_1030_Grade_B
14030627,82.1,1.0,0.0,2.5,97.0,Coke_1030_Grade_B
14030629,83.51,0.93,0.0,2.71,96.71,Coke_1030_Grade_B
14030702,83.29,0.98,0.0,2.75,97.0,Coke_1030_Grade_B
14030703,81.1,0.9,0.0,2.5,97.0,Coke_1030_Grade_B
14030717,81.65,0.95,0.0,2.5,97.0,Coke_1030_Grade_B
14030718,83.47,0.97,0.0,2.33,97.0,Coke_1030_Grade_B
14030719,82.7,1.1,0.0,2.67,97.33,Coke_1030_Grade_B
14030722,83.54,1.08,0.0,2.6,97.2,Coke_1030_Grade_B
14030723,83.35,1.15,0.0,2.5,97.5,Coke_1030_Grade_B
14030724,82.63,1.17,0.0,2.33,97.67,Coke_1030_Grade_B
14030725,82.0,1.0,0.0,2.33,97.67,Coke_1030_Grade_B
14030726,83.4,1.0,0.0,2.29,97.57,Coke_1030_Grade_B
14030729,82.42,1.01,0.0,2.22,97.44,Coke_1030_Grade_B
14030730,82.0,1.03,0.0,2.0,97.67,Coke_1030_Grade_B
14030801,82.45,1.1,0.0,2.0,97.5,Coke_1030_Grade_B
14030802,81.9,1.0,0.0,2.0,98.0,Coke_1030_Grade_B
14030914,84.5,0.9,0.0,3.0,95.0,Coke_1030_Grade_B
14030915,84.9,0.9,0.0,1.0,97.0,Coke_1030_Grade_B
