tar,cao (Dolomite),mgo (Dolomite),s0_95 (Dolomite),Dolomite_labels
14020915,54.68,33.22,2.5,0
14020916,54.3,34.02,2.25,0
14020917,54.83,34.4,2.33,0
14020918,55.02,33.05,2.0,0
14020919,54.7,32.92,2.5,0
14020920,54.77,33.17,2.67,0
14020921,54.85,32.83,2.75,0
14020922,54.8,33.42,1.5,0
14020923,54.9,33.4,2.33,0
14020924,54.83,33.3,2.33,0
14020925,54.8,33.55,3.0,1
14020927,55.0,33.42,1.5,0
14020928,54.83,33.2,2.33,0
14020929,54.6,33.13,1.67,0
14020930,55.0,32.33,1.5,0
14021001,54.67,33.1,2.0,0
14021002,54.7,33.25,1.75,0
14021003,54.43,33.6,4.0,1
14021005,54.33,33.53,1.67,0
14021006,55.02,33.55,1.75,0
14021007,54.5,32.97,2.0,0
14021008,54.57,33.17,2.0,0
14021009,54.17,33.13,2.33,0
14021010,54.6,33.55,3.5,1
14021011,54.4,32.6,2.0,0
14021012,54.75,32.45,1.5,0
14021013,54.3,32.8,2.33,0
14021014,54.1,33.6,3.5,1
14021015,54.9,34.6,3.0,1
14021016,54.9,34.6,2.0,0
14021017,55.4,34.5,2.0,0
14021018,54.45,33.3,3.5,1
14021019,54.7,34.0,3.0,1
14021020,54.1,34.8,4.0,1
14021021,54.5,33.3,2.5,0
14021022,54.6,34.0,3.0,1
14021023,54.45,33.05,3.5,1
14021025,54.7,33.6,3.0,1
14021026,54.5,33.25,3.5,1
14021027,55.2,34.0,3.0,1
14021028,55.3,34.0,2.0,0
14021101,54.2,34.5,4.0,1
14021102,55.1,33.5,3.0,1
14021103,54.8,33.7,3.0,1
14021104,54.7,33.7,4.0,1
14021105,54.6,34.0,4.0,1
14021107,54.75,33.25,3.5,1
14021108,54.8,33.35,3.0,1
14021109,54.1,32.4,4.0,1
14021110,54.17,32.57,1.33,0
14021111,55.4,33.7,2.0,0
14021112,54.67,32.97,2.33,0
14021113,54.63,33.03,2.33,0
14021114,54.63,33.33,2.33,0
14021115,54.83,32.97,1.67,0
14021116,54.67,33.23,2.0,0
14021117,54.65,32.2,1.5,0
14021118,54.95,33.3,1.75,0
14021119,54.75,32.45,2.0,0
14021120,54.65,32.4,2.0,0
14021121,54.8,33.03,2.33,0
14021122,54.4,32.65,1.5,0
14021123,54.65,32.55,2.0,0
14021124,54.83,33.1,1.67,0
14021125,54.4,32.6,1.5,0
14021126,54.63,33.2,2.33,0
14021127,54.9,33.0,3.0,0
14021128,54.1,33.25,3.5,1
14021129,54.27,32.8,2.67,0
14021130,54.1,33.07,2.33,0
14021201,54.17,33.13,2.33,0
14021202,54.1,33.2,2.0,0
14021203,54.45,32.8,1.0,0
14021204,54.9,32.55,2.5,0
14021205,54.7,32.83,2.67,0
14021209,54.3,32.35,1.0,0
14021211,54.4,32.65,2.0,0
14021212,54.2,32.25,1.5,0
14021213,54.03,32.37,1.33,0
14021214,54.87,32.4,2.67,0
14021215,54.5,32.3,4.0,1
14021216,54.43,32.8,2.33,0
14021217,55.3,32.8,3.0,0
14021219,55.1,33.1,4.0,1
14021220,54.8,33.3,4.0,1
14021222,55.1,33.1,3.0,0
14021223,54.7,33.7,3.0,1
14021224,54.8,33.3,1.0,0
14021225,54.65,33.2,1.5,0
14021227,55.2,33.2,2.0,0
14021228,54.57,32.5,2.33,0
14021229,54.1,32.4,4.0,1
14030104,54.9,32.1,0.0,0
14030105,54.53,32.92,1.25,0
14030106,53.67,32.73,2.0,0
14030107,53.78,32.6,1.2,0
14030108,54.12,32.75,2.25,0
14030109,54.32,32.64,1.6,0
14030110,54.33,32.6,2.33,0
14030111,54.5,32.7,3.0,0
14030112,54.7,32.6,2.0,0
14030114,54.0,32.8,3.0,0
14030115,54.03,32.77,1.33,0
14030116,53.98,32.46,1.6,0
14030117,54.22,32.67,1.75,0
14030118,54.3,32.57,1.75,0
14030119,54.2,32.47,1.67,0
14030120,54.4,32.5,1.25,0
14030121,54.42,33.12,1.5,0
14030122,53.8,32.35,1.0,0
14030123,53.7,32.7,1.5,0
14030124,54.55,32.95,3.5,1
14030125,54.52,32.92,1.75,0
14030126,54.72,32.9,1.17,0
14030127,54.78,33.0,1.75,0
14030129,49.93,32.67,1.33,0
14030130,57.27,33.27,1.33,0
14030131,57.7,33.47,2.33,0
14030202,55.43,34.03,2.33,0
14030203,56.15,34.1,3.5,1
14030204,56.0,34.28,1.25,0
14030205,55.85,34.05,2.0,0
14030206,55.9,34.1,1.67,0
14030207,56.33,33.83,1.67,0
14030209,55.9,34.9,3.5,1
14030210,55.55,34.25,3.5,1
14030211,56.15,33.85,3.5,1
14030212,56.0,34.9,3.0,1
14030213,56.3,34.0,4.0,1
14030214,55.8,34.4,3.0,1
14030215,56.7,35.0,3.0,1
14030216,55.9,34.9,4.0,1
14030217,54.9,33.95,3.0,1
14030218,56.1,33.85,3.5,1
14030219,55.65,34.3,4.0,1
14030220,56.0,33.75,3.5,1
14030225,55.9,34.5,3.0,1
14030226,55.8,34.4,3.0,1
14030231,56.4,33.7,3.0,1
14030301,56.3,34.4,3.0,1
14030302,55.3,34.1,4.0,1
14030303,55.9,34.5,3.0,1
14030304,55.5,34.2,2.0,0
14030306,55.8,34.5,3.0,1
14030308,55.9,34.5,4.0,1
14030309,56.3,34.0,4.0,1
14030310,56.0,33.8,4.0,1
14030311,55.8,34.4,3.0,1
14030312,56.05,33.85,3.5,1
14030313,56.07,34.07,1.67,0
14030315,56.1,34.25,2.5,0
14030316,55.55,34.25,2.0,0
14030317,53.75,32.95,3.0,0
14030318,54.9,32.9,3.0,0
14030319,54.85,32.9,3.5,1
14030321,55.65,33.9,3.0,1
14030322,55.55,33.85,3.5,1
14030323,55.3,34.0,3.0,1
14030324,55.65,33.9,3.0,1
14030325,54.8,33.7,2.0,0
14030326,55.2,34.0,3.0,1
14030327,54.9,33.6,3.5,1
14030328,54.6,33.6,4.0,1
14030330,55.8,34.0,4.0,1
14030331,55.3,34.1,2.0,0
14030401,55.8,34.0,2.0,0
14030402,55.2,33.85,3.5,1
14030403,54.1,33.6,3.0,1
14030404,55.0,33.8,3.0,1
14030405,55.3,33.85,3.5,1
14030406,55.15,33.75,3.5,1
14030407,54.8,33.7,2.0,0
14030408,55.3,34.1,2.0,0
14030409,56.4,34.1,2.0,0
14030410,55.0,33.8,3.0,1
14030430,55.2,34.4,3.0,1
14030431,55.6,34.3,4.5,1
14030501,55.15,34.75,2.5,0
14030502,53.0,33.25,3.5,1
14030503,55.47,33.5,3.0,1
14030504,55.25,33.25,7.0,1
14030505,54.85,33.95,2.0,0
14030506,55.5,33.82,2.8,1
14030507,55.3,34.1,4.0,1
14030508,55.2,33.8,4.0,1
14030509,54.8,34.1,3.0,1
14030510,52.8,35.75,2.5,1
14030511,56.07,33.83,3.0,1
14030512,55.55,33.45,3.5,1
14030513,55.52,33.62,1.5,0
14030514,56.35,33.6,3.5,1
14030515,55.05,34.1,3.0,1
14030516,55.8,33.85,3.5,1
14030517,55.85,33.85,2.5,0
14030518,55.7,34.0,2.0,0
14030520,55.57,33.97,1.67,0
14030521,55.5,33.93,2.0,0
14030522,55.72,33.65,1.75,0
14030523,55.65,34.1,2.5,0
14030524,55.8,33.65,2.0,0
14030525,55.6,34.05,2.5,0
14030526,55.5,33.85,2.5,0
14030527,55.3,33.67,2.33,0
14030528,55.75,33.45,2.5,0
14030529,55.37,33.43,2.33,0
14030530,55.47,33.5,2.0,0
14030531,55.25,33.45,2.5,0
14030601,54.4,33.65,3.0,1
14030602,55.3,34.4,4.0,1
14030603,55.25,33.25,1.5,0
14030604,57.7,32.9,3.0,0
14030605,58.7,33.3,4.0,0
14030626,57.7,32.6,2.0,0
14030627,56.8,32.0,2.0,0
14030628,55.9,34.1,4.0,1
14030629,56.45,32.25,3.5,0
14030630,55.35,34.05,3.5,1
14030631,56.2,32.5,3.5,0
14030701,56.85,32.35,4.0,0
14030702,55.67,32.47,4.67,1
14030703,55.37,32.9,3.0,0
14030704,58.0,32.75,3.0,0
14030705,56.05,32.7,1.75,0
14030706,50.6,36.3,3.0,1
14030707,57.37,32.87,2.0,0
14030708,57.6,32.73,3.0,0
14030709,56.37,32.93,3.33,0
14030710,54.6,34.5,3.33,1
14030712,55.4,33.1,2.5,0
14030713,56.35,32.8,3.0,0
14030714,54.73,34.3,3.0,1
14030715,54.8,34.5,3.33,1
14030716,55.13,34.1,3.67,1
14030717,55.6,34.05,3.0,1
14030718,55.3,34.1,3.0,1
14030719,54.4,34.25,3.0,1
14030720,54.2,34.9,2.0,0
14030721,55.65,32.45,3.5,0
14030722,54.93,34.2,3.67,1
14030723,54.7,34.33,3.0,1
14030724,54.93,33.93,3.67,1
14030725,55.27,33.67,3.0,1
14030726,55.2,34.0,4.0,1
14030727,54.4,33.85,2.0,0
14030728,56.4,32.97,2.33,0
14030729,54.87,33.63,3.33,1
14030730,54.9,33.55,3.5,1
14030801,55.4,33.7,4.0,1
14030802,54.45,34.05,3.5,1
14030805,55.1,33.5,3.0,1
14030806,55.15,33.75,2.5,0
14030807,55.4,33.3,4.0,1
14030808,54.7,34.25,3.0,1
14030809,55.3,34.1,3.0,1
14030810,54.6,34.0,3.0,1
14030811,54.9,33.8,0.0,0
14030812,54.85,33.95,1.5,0
14030813,54.6,33.98,2.0,0
14030814,54.65,33.75,2.5,0
14030815,56.6,38.2,3.0,1
14030816,55.4,35.15,1.0,0
14030817,54.8,34.47,2.0,0
14030818,54.2,34.1,5.0,1
14030819,55.2,34.0,3.0,1
14030820,54.95,34.0,3.5,1
14030821,55.15,34.15,2.5,0
14030822,54.5,33.9,2.0,0
14030823,54.92,36.25,3.25,1
14030824,53.35,35.7,3.5,1
14030825,54.6,33.6,4.0,1
14030826,54.9,33.6,2.0,0
14030827,55.05,33.5,3.5,1
14030828,55.07,34.43,3.0,1
14030829,55.05,34.3,2.0,0
14030830,55.9,34.35,2.5,0
14030901,53.7,35.55,3.5,1
14030902,55.8,34.1,2.5,0
14030903,54.35,35.45,3.5,1
14030904,54.57,35.3,3.0,1
14030905,54.35,34.8,3.5,1
14030906,55.1,34.75,2.5,0
14030907,55.4,34.35,2.0,0
14030908,55.8,33.8,2.5,0
14030909,56.1,34.3,2.0,0
14030910,55.63,33.27,2.33,0
14030911,54.55,34.75,3.5,1
14030912,54.55,34.95,4.0,1
14030913,54.2,34.75,2.0,0
14030914,55.1,34.35,3.5,1
